"species_name_acc","taxon_name","scientificName","taxonIdentificationNotes","database","year","basisOfRecord","establishmentMeans","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geolocationNotes","county","stateProvince","country","countryCode","locationNotes","datasetName","publisher","nativeDatabaseID","references","informationWithheld","issue","taxon_name_full","list","unique_id","lat_round","long_round"
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.396993,-87.816824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-23-20054-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063585,39.397,-87.8168
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.999999,-87.810378,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-33-20009-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063586,39,-87.8104
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.893928,-88.914627,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-51-20093-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063587,38.8939,-88.9146
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.794793,-89.155871,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-51-20103-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063588,38.7948,-89.1559
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.833745,-89.120419,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-51-20116-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063592,38.8337,-89.1204
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.364603,-90.479648,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-61-20039-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063593,39.3646,-90.4796
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.48236,-90.259725,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-61-20120-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063596,39.4824,-90.2597
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.147546,-88.066485,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-79-20050-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063598,39.1475,-88.0665
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.930338,-88.002494,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-79-20202-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063607,38.9303,-88.0025
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.261416,-89.135605,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-81-20126-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063608,38.2614,-89.1356
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.778134,-87.58347,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-101-20036-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063609,38.7781,-87.5835
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.764735,-88.954687,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-121-20029-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063611,38.7647,-88.9547
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.595295,-89.051591,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-121-20097-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063613,38.5953,-89.0516
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.730063,-88.700218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-121-20203-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063615,38.7301,-88.7002
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.306883,-90.213018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-133-20090-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063616,38.3069,-90.213
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.163967,-89.606725,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-135-20008-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063617,39.164,-89.6067
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.758983,-88.042436,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-159-20019-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063620,38.759,-88.0424
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.216263,-88.518139,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-173-20050-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063622,39.2163,-88.5181
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.345284,-89.267448,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-189-20075-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063623,38.3453,-89.2674
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.199207,-88.734362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-39-20059-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063625,40.1992,-88.7344
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.551785,-90.258585,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-57-20200-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063629,40.5518,-90.2586
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.549721,-90.116132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-137-20039-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063633,39.5497,-90.1161
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.765952,-89.860066,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-143-20037-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063634,40.766,-89.8601
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.057014,-90.578352,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-169-20201-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063638,40.057,-90.5784
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.117495,-87.234602,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-55-20069-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121828,39.1175,-87.2346
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.50883,-87.165777,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-125-20200-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121830,38.5088,-87.1658
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.954183,-87.334334,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-153-20031-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121832,38.9542,-87.3343
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.070335,-87.571295,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-163-20064-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121836,38.0703,-87.5713
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.213698,-86.307046,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-25-20033-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121841,38.2137,-86.307
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.075981,-86.24406,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-61-20055-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121842,38.076,-86.2441
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.087591,-87.313308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-173-20094-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121844,38.0876,-87.3133
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",36.864428,-90.697595,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-35-20200-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778266,36.8644,-90.6976
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.652586,-91.515899,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-65-20067-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778269,37.6526,-91.5159
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.53347,-91.028144,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-179-20240-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778274,37.5335,-91.0281
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",36.612293,-90.934552,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-181-20058-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778277,36.6123,-90.9346
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.907139,-92.676742,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-29-20203-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778278,37.9071,-92.6767
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.574511,-92.791147,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-105-20109-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778280,37.5745,-92.7911
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.231351,-92.57077,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-131-20063-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778282,38.2314,-92.5708
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.010147,-92.187103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-169-20066-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778286,38.0101,-92.1871
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.977305,-92.20876,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-169-20097-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778288,37.9773,-92.2088
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.697764,-92.051851,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-169-20219-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778289,37.6978,-92.0519
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.08565,-92.617529,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-1-20099-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778292,40.0857,-92.6175
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.159649,-91.501999,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-7-20049-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778293,39.1596,-91.502
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.679568,-94.660723,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-21-20213-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778298,39.6796,-94.6607
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.387563,-93.461368,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-33-20110-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778299,39.3876,-93.4614
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.640959,-94.34082,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-37-20059-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778300,38.641,-94.3408
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.502082,-93.71714,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-57-20044-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778306,37.5021,-93.7171
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.98649,-93.805197,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-61-20134-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778307,39.9865,-93.8052
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.94926,-94.30025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-63-20030-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778316,39.9493,-94.3003
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.077639,-94.288662,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-75-20068-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778317,40.0776,-94.2887
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.482822,-93.635927,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-83-20060-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778318,38.4828,-93.6359
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.742744,-93.673457,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-101-20144-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778320,38.7427,-93.6735
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.121319,-91.975009,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-103-20079-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778326,40.1213,-91.975
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.944353,-94.068348,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-107-20113-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778328,38.9444,-94.0683
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.017779,-91.247422,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-113-20209-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778330,39.0178,-91.2474
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.822507,-91.751629,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-127-20061-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778332,39.8225,-91.7516
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.742632,-91.472807,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-127-20089-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778339,39.7426,-91.4728
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.434406,-91.908477,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-137-20120-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778347,39.4344,-91.9085
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.511156,-91.850632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-137-20149-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778351,39.5112,-91.8506
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.261915,-91.320319,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-163-20098-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778354,39.2619,-91.3203
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.995358,-93.416403,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-195-20158-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778357,38.9954,-93.4164
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.11913,-92.969282,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-195-20181-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778359,39.1191,-92.9693
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.560861,-92.49808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-197-20201-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778362,40.5609,-92.4981
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.399886,-92.251845,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-199-20053-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778363,40.3999,-92.2518
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.89653,-91.911404,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-205-20083-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778365,39.8965,-91.9114
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.298939,-92.897471,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-211-20126-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778367,40.2989,-92.8975
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.091252,-93.152088,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-211-20200-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778373,40.0913,-93.1521
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.417807,-94.28943,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-4-227-20009-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778377,40.4178,-94.2894
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.112148,-92.173955,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-19-20036-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778379,39.1121,-92.174
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.085584,-92.319308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-19-20090-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778382,39.0856,-92.3193
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.085172,-92.487331,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-19-20162-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778384,39.0852,-92.4873
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.89738,-92.068193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-27-20058-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778386,38.8974,-92.0682
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.794403,-91.657145,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-27-20232-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778399,38.7944,-91.6571
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.510616,-89.795924,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-31-20080-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778401,37.5106,-89.7959
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.369738,-91.17251,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-71-20244-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778402,38.3697,-91.1725
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.638659,-91.545342,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-73-20200-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778403,38.6387,-91.5453
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",39.058655,-92.787638,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-89-20019-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778404,39.0587,-92.7876
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.285107,-90.546718,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-99-20206-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778409,38.2851,-90.5467
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.577134,-91.839455,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-151-20031-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778413,38.5771,-91.8395
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.567824,-90.920103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-5-183-20208-29",NA,NA,NA,"Quercus imbricaria","desiderata",3778414,38.5678,-90.9201
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","CUT",37.505902,-88.362382,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-69-10213-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063571,37.5059,-88.3624
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","CUT",37.527635,-88.475443,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-151-20202-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063582,37.5276,-88.4754
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","CUT",38.667989,-88.043466,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-159-20074-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063621,38.668,-88.0435
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","CUT",40.988088,-90.126073,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-3-95-20122-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063632,40.9881,-90.1261
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","CUT",39.44096,-87.104752,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-21-20028-18",NA,NA,NA,"Quercus imbricaria","desiderata",3121827,39.441,-87.1048
