"species_name_acc","taxon_name","scientificName","taxonIdentificationNotes","database","year","basisOfRecord","establishmentMeans","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geolocationNotes","county","stateProvince","country","countryCode","locationNotes","datasetName","publisher","nativeDatabaseID","references","informationWithheld","issue","taxon_name_full","list","unique_id","lat_round","long_round"
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1912","PRESERVED_SPECIMEN","UNKNOWN",33.71233,-84.105194,1047,"2019-08-19 | GEOLocate Web Application | GEOLocate (Tulane University Museum of Natural History)","Dekalb Co.","Georgia",NA,"US",NA,"The New York Botanical Garden Herbarium (NY)","The New York Botanical Garden","1930116754","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1720065",NA,NA,"Quercus georgiana","desiderata",5622132,33.7123,-84.1052
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1899","PRESERVED_SPECIMEN","UNKNOWN",33.80611,-84.14583,5000,"2006. Google Earth. © Google Earth.","Dekalb County","Georgia",NA,"US","Rocky riverbanks","CONN","University of Connecticut","415898996",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",7517919,33.8061,-84.1458
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1899","PRESERVED_SPECIMEN","UNKNOWN",33.8123,-84.07588,NA,NA,NA,"Georgia",NA,"US",NA,"The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","MNHN - Museum national d'Histoire naturelle","731714690",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",6416703,33.8123,-84.0759
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1899","PRESERVED_SPECIMEN","UNKNOWN",33.80561,-84.14918,NA,NA,NA,"Georgia",NA,"US",NA,"The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","MNHN - Museum national d'Histoire naturelle","731714693",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",6939102,33.8056,-84.1492
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1897","PRESERVED_SPECIMEN","UNKNOWN",33.80816,-84.1702,NA,NA,NA,"Georgia",NA,"US",NA,"The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","MNHN - Museum national d'Histoire naturelle","731730461",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",6992398,33.8082,-84.1702
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1896","PRESERVED_SPECIMEN","UNKNOWN",33.802741,-84.172084,1543,"2019-08-21 | GEOLocate Web Application | GEOLocate (Tulane University Museum of Natural History)",NA,"Georgia",NA,"US",NA,"The New York Botanical Garden Herbarium (NY)","The New York Botanical Garden","1930866126","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1720048",NA,NA,"Quercus georgiana","desiderata",7202646,33.8027,-84.1721
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis","Lance, Ron","GBIF",NA,"PRESERVED_SPECIMEN","UNKNOWN",32.850037,-84.790583,1210,"McCormick, Carol Ann | = Pine Mountain | GeoLocate","Harris","Georgia",NA,"US","Oak - hickory - pine woodland. | Georgia Oak. Small tree","University of North Carolina at Chapel Hill Herbarium","University of North Carolina at Chapel Hill Herbarium (NCU)","2234348884","http://sernecportal.org/portal/collections/individual/index.php?occid=12853539",NA,"RECORDED_DATE_MISMATCH","Quercus georgiana","desiderata",6420418,32.85,-84.7906
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis","Unspecified Determiner","GBIF",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.8056,-84.1453,NA,"2007-08-13 | Google Earth","DeKalb Co.","Georgia",NA,"US",NA,"The New York Botanical Garden Herbarium (NY)","The New York Botanical Garden","1930005782","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588129",NA,NA,"Quercus georgiana","desiderata",6946528,33.8056,-84.1453
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2017","PRESERVED_SPECIMEN","UNKNOWN",33.766666747,-84.283333328,NA,NA,"dekalb county","georgia","united states","usa",NA,"geo",NA,"a28148a5-310e-4eaf-965b-87791223faca","4ba964aa-da73-4e52-a979-0d31bd0b88ee",NA,NA,"Quercus georgiana","desiderata",7694534,33.7667,-84.2833
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2015","PRESERVED_SPECIMEN","UNKNOWN",33.6612833,-84.1165333,NA,NA,"dekalb county","georgia","united states","usa",NA,"geo",NA,"9f4660f2-5491-4b5f-988e-923faa703e21","3d1da588-37a9-41fa-8842-bc4051a851f7",NA,NA,"Quercus georgiana","desiderata",7694531,33.6613,-84.1165
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2012","PRESERVED_SPECIMEN","UNKNOWN",39.936489,-89.800685,191,NA,"menard","illinois","united states","usa",NA,"mor",NA,"44566f0b-250f-499b-a13c-64c3a5cfa6d8","de1f5029-58e4-47e5-aca2-21d0936769ea",NA,NA,"Quercus georgiana","desiderata",7694455,39.9365,-89.8007
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2012","PRESERVED_SPECIMEN","UNKNOWN",39.934828,-89.802094,NA,NA,"menard","illinois","united states","usa",NA,"mor",NA,"75023984-4c26-4ae8-9578-85ad18e7c8e6","3839f0e6-2cc5-4726-8797-29367a9a428f",NA,NA,"Quercus georgiana","desiderata",7694502,39.9348,-89.8021
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2012","PRESERVED_SPECIMEN","UNKNOWN",39.934847,-89.80205,NA,NA,"menard","illinois","united states","usa",NA,"mor",NA,"dd703039-4313-4d9c-814a-b8764aca5ef6","c30e89ed-7ca6-4de4-bf8b-798515dcf276",NA,NA,"Quercus georgiana","desiderata",7694602,39.9348,-89.802
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2011","PRESERVED_SPECIMEN","UNKNOWN",33.809,-84.152,500,NA,"dekalb county","georgia","united states","usa",NA,"ga",NA,"43329ce0-5e5d-47e6-bf25-591fb2bf7d82","9ec208dc-85cc-4656-892c-8dc53048f48e",NA,NA,"Quercus georgiana","desiderata",7694454,33.809,-84.152
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","2007","PRESERVED_SPECIMEN","UNKNOWN",33.00375,-84.3162667,NA,NA,"pike","georgia","united states","usa",NA,"vsc",NA,"6405eb08-794c-44f5-b7fd-24ea9571b594","urn:uuid:6b0f4234-4970-4485-bc43-fb264732e16e",NA,NA,"Quercus georgiana","desiderata",7694487,33.0037,-84.3163
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","1995","PRESERVED_SPECIMEN","UNKNOWN",33.806217,-84.14575,966,NA,"dekalb county","georgia","united states","usa",NA,"ga",NA,"be5fc9b7-dc64-42f8-b0e6-1e304735f9a7","18a10106-1431-42db-aef0-f5ce4743caf6",NA,NA,"Quercus georgiana","desiderata",7694563,33.8062,-84.1458
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio","1964","PRESERVED_SPECIMEN","UNKNOWN",33.63952,-83.892046,4712,NA,"newton","georgia","united states","usa",NA,"cm",NA,"ea0b04ed-fc80-4837-8259-3f7df23a84c3","26eb606c-8a8c-46a4-9895-24b3f0bc80c7",NA,NA,"Quercus georgiana","desiderata",7694617,33.6395,-83.892
"Quercus georgiana","Quercus georgiana","quercus georgiana",NA,"iDigBio",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.5550182076,-83.8504230395,NA,NA,"newton","georgia","united states","usa",NA,"ttrs",NA,"677fd9c1-2a6d-47e2-b89b-b179e70f4860","urn:uuid:f79a60ef-87f3-467d-82d5-45d95d608aa4",NA,NA,"Quercus georgiana","desiderata",7694492,33.555,-83.8504
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",32.7315483093262,-84.9124298095703,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069328447",NA,NA,NA,"Quercus georgiana","desiderata",2195090,32.7315,-84.9124
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.352897644043,-84.7621383666992,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069370384",NA,NA,NA,"Quercus georgiana","desiderata",2195091,33.3529,-84.7621
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",32.8818359375,-84.2922821044922,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069520317",NA,NA,NA,"Quercus georgiana","desiderata",2195092,32.8818,-84.2923
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.7706604003906,-84.2263412475586,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069543680",NA,NA,NA,"Quercus georgiana","desiderata",2195093,33.7707,-84.2263
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.5440444946289,-83.8551864624023,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069671965",NA,NA,NA,"Quercus georgiana","desiderata",2195094,33.544,-83.8552
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.7826499938965,-83.7342147827148,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069731969",NA,NA,NA,"Quercus georgiana","desiderata",2195095,33.7826,-83.7342
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.9920082092285,-83.7123031616211,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2069743211",NA,NA,NA,"Quercus georgiana","desiderata",2195096,33.992,-83.7123
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",33.5534439086914,-86.8965377807617,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2068867209",NA,NA,NA,"Quercus georgiana","desiderata",2195097,33.5534,-86.8965
"Quercus georgiana","Quercus georgiana",NA,NA,"BISON",NA,"PRESERVED_SPECIMEN","UNKNOWN",35.4027481079102,-81.9195861816406,NA,NA,NA,NA,NA,NA,NA,"BISON",NA,"2070279719",NA,NA,NA,"Quercus georgiana","desiderata",2195098,35.4027,-81.9196
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.12261,85.25892,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134935",NA,NA,NA,"Quercus georgiana","desiderata",2199957,33.1226,85.2589
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.12811,85.25785,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134938",NA,NA,NA,"Quercus georgiana","desiderata",2199958,33.1281,85.2579
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.02603,85.48336,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134939",NA,NA,NA,"Quercus georgiana","desiderata",2199959,33.026,85.4834
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.64055,86.36877,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134940",NA,NA,NA,"Quercus georgiana","desiderata",2199960,33.6405,86.3688
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.64143,86.36794,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134941",NA,NA,NA,"Quercus georgiana","desiderata",2199961,33.6414,86.3679
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.39425,86.83515,NA,NA,NA,NA,NA,NA,NA,"HuntingtonBG",NA,"134942",NA,NA,NA,"Quercus georgiana","desiderata",2199962,33.3942,86.8351
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2018",NA,"MANAGED",33.64143,-86.36794,NA,NA,NA,NA,NA,NA,NA,"MissouriBG",NA,"2018-1744-2",NA,NA,NA,"Quercus georgiana","desiderata",2200354,33.6414,-86.3679
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2017",NA,"MANAGED",33.81034,-84.15659,NA,NA,NA,NA,NA,NA,NA,"USNatlArb",NA,"84815",NA,NA,NA,"Quercus georgiana","desiderata",2201499,33.8103,-84.1566
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2014",NA,"MANAGED",33.02654,-85.48312,NA,NA,NA,NA,NA,NA,NA,"AtlantaBG",NA,"20181875",NA,NA,NA,"Quercus georgiana","desiderata",2197439,33.0265,-85.4831
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ","2014",NA,"MANAGED",33.02692,-85.48209,NA,NA,NA,NA,NA,NA,NA,"AtlantaBG",NA,"20181878",NA,NA,NA,"Quercus georgiana","desiderata",2197442,33.0269,-85.4821
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",32.850268,-84.70121,NA,NA,NA,NA,NA,NA,NA,"DawesArb",NA,"D2018-0081.001",NA,NA,NA,"Quercus georgiana","desiderata",2198438,32.8503,-84.7012
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",40.64699367,-73.98590668,NA,NA,NA,NA,NA,NA,NA,"GreenWood",NA,"S15-367",NA,NA,NA,"Quercus georgiana","desiderata",2199365,40.647,-73.9859
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.81105,84.15737,NA,NA,NA,NA,NA,NA,NA,"ChicagoBG",NA,"3549-2017",NA,NA,NA,"Quercus georgiana","desiderata",2200813,33.8111,84.1574
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.80966,-84.15584,NA,NA,NA,NA,NA,NA,NA,"DenverBG",NA,"174039",NA,NA,NA,"Quercus georgiana","desiderata",2200814,33.8097,-84.1558
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.02603,-85.48336,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"512-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200816,33.026,-85.4834
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.64055,-86.36877,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"513-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200817,33.6405,-86.3688
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.39425,-86.83515,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"514-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200818,33.3942,-86.8351
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.12261,-85.25892,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"515-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200819,33.1226,-85.2589
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.12811,-85.25785,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"516-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200820,33.1281,-85.2579
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.81194,-84.15861,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"528-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200823,33.8119,-84.1586
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.811111,-84.1575,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"529-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200824,33.8111,-84.1575
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.812222,-84.166389,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"530-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200825,33.8122,-84.1664
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.808056,-84.163889,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"531-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200826,33.8081,-84.1639
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.655833,-84.140278,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"532-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200827,33.6558,-84.1403
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.660278,-84.122222,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"533-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200828,33.6603,-84.1222
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.660278,-84.121111,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"534-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200829,33.6603,-84.1211
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.659444,-84.120556,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"535-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200830,33.6594,-84.1206
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.750833,-83.832222,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"536-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200831,33.7508,-83.8322
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.438889,-85.007222,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"538-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200833,33.4389,-85.0072
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.424444,-84.971667,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"539-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200834,33.4244,-84.9717
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.443333,-84.918056,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"540-2018 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200835,33.4433,-84.9181
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.586569,-92.852206,NA,NA,NA,NA,NA,NA,NA,"MortonArb",NA,"593-2015 seed",NA,NA,NA,"Quercus georgiana","desiderata",2200836,33.5866,-92.8522
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.3833333333333,86.8411111111111,NA,NA,NA,NA,NA,NA,NA,"AUDavisArb",NA,"AUDA2009183",NA,NA,NA,"Quercus georgiana","desiderata",2202113,33.3833,86.8411
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.81105,-84.1573694444445,NA,NA,NA,NA,NA,NA,NA,"CornellBG",NA,"17-154",NA,NA,NA,"Quercus georgiana","desiderata",2202114,33.8111,-84.1574
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.0263888888889,85.4830555555556,NA,NA,NA,NA,NA,NA,NA,"AUDavisArb",NA,"AUDA2015027",NA,NA,NA,"Quercus georgiana","desiderata",2202115,33.0264,85.4831
"Quercus georgiana","Quercus georgiana",NA,NA,"Ex_situ",NA,NA,"MANAGED",33.3841944444444,86.8413055555556,NA,NA,NA,NA,NA,NA,NA,"AUDavisArb",NA,"AUDA2016033",NA,NA,NA,"Quercus georgiana","desiderata",2202116,33.3842,86.8413
